Pressure (bar)	Bulk adsorption (molecules/uc)	Bulk adsorption (molecules/nm^3)	Bulk adsorption (%w.t.)	Bulk adsorption (cm^3 STP/cm^3)	Bulk adsorption (mol/kg)	Ideal adsorption (molecules/uc)	Ideal adsorption (molecules/nm^3)	Ideal adsorption (%w.t.)	Ideal adsorption (cm^3 STP/cm^3)	Ideal adsorption (mol/kg)	Absolute adsorption (molecules/uc)	Absolute adsorption (molecules/nm^3)	Absolute adsorption (mg/g)	Absolute adsorption (%w.t.)	Absolute adsorption (mol/kg)	Absolute adsorption (cm^3 STP/cm^3)	Excess adsorption (molecules/uc)	Excess adsorption (molecules/nm^3)	Excess adsorption (mg/g)	Excess adsorption (%w.t.)	Excess adsorption (mol/kg)	Excess adsorption (cm^3 STP/cm^3)
48.0	21.8387524594044	0.8225884411964223	2.4407044612134725	31.02180689748984	1.5594123012900685	4482.094304078041	168.82461458091325	83.69880150527676	6366.786026624533	320.0472648936315	100.63374328613281	3.7905166137754076	115.2822226610231	10.336596452327903	7.185827006234688	142.94958273816695	78.79499082672841	2.967928172578985	90.26457111142652	8.27914375126488	5.626414704944619	111.92777584067713
49.0	22.328531544307268	0.8410366842785204	2.49407709101772	31.717534926026705	1.594385339760644	4582.614516978498	172.6108549072425	83.99915627479236	6509.574340182696	327.224985178554	101.34617614746094	3.8173514358627214	116.09835888997301	10.402161956894176	7.2366988025913495	143.96158901886594	79.01764460315367	2.976314751584201	90.51963488419301	8.30059652193293	5.642313462830706	112.24405409283924
50.0	22.81972840575687	0.8595383299806496	2.5475456002647117	32.41527689699633	1.629459615616073	4683.4257084133915	176.4080553641703	84.2894658076965	6652.7759868707335	334.4234830013352	102.04544067382812	3.8436902534209856	116.89940997080589	10.466422394641741	7.286630304232744	144.95488976475568	79.22571226807125	2.9841519234403355	90.75798935747724	8.320634846868206	5.65717068861667	112.53961286775933
51.0	23.312340578632845	0.8780932854504586	2.601109309669783	33.11502930871116	1.66463495283261	4784.52737245172	180.21619689506804	84.57022092285168	6796.390248016925	341.6427222355971	102.7320556640625	3.8695526077642057	117.68597021990183	10.529430748490778	7.335658556373611	145.9302219262226	79.41971508542966	2.991459322313747	90.98023167160828	8.339310743716013	5.671023603541001	112.81519261751146
52.0	23.80636532648361	0.8967014476155103	2.6547675116714453	33.816788274059384	1.6999111560119018	4885.918947475593	184.03525834577934	84.8418808669865	6940.4163258466815	348.88266277859805	103.40635681152344	3.894951143272034	118.45842419491844	10.591222850343	7.383807529447014	146.88806235351686	79.59999148503982	2.9982496956565234	91.1867495190195	8.356658432593083	5.683896373435112	113.07127407945747
53.0	24.301799631296397	0.9153627027979548	2.708519469494756	34.520549505973335	1.7352880096505106	4987.599814080682	187.86521638553737	85.10487580966466	7084.853340500151	356.14326040131294	104.06886291503906	3.9199054012584766	119.21736621223582	10.651850999748406	7.431114268667693	147.82914799702485	79.76706328374266	3.0045426984605212	91.37814067341264	8.372729603786057	5.695826259017182	113.30859849105148
54.0	24.798640183141664	0.9340769263244718	2.7623644162089294	35.22630830271948	1.7707652774004645	5089.569292950878	191.7060454269108	85.35960910534271	7229.700327013186	363.42446659667166	104.71981811523438	3.944424577636007	119.96307595015038	10.711342054591983	7.4775962070778785	148.75382565692843	79.92117793209272	3.0103476513115357	91.55468860481477	8.387549388096772	5.706830929677414	113.52751735420897
55.0	25.296883369701348	0.9528439821318367	2.8163015537803187	35.93405953302332	1.8063427013215156	5191.826642709113	195.55771754485184	85.60645934749934	7374.956232264451	370.72622842609536	105.35968017578125	3.968525914740514	120.69607780546816	10.769742144704706	7.523286031631749	149.66274558356864	80.0627968060799	3.0156819326086772	91.71692184816708	8.401163343048632	5.716943330310234	113.7286860505453
56.0	25.796525265689766	0.971663722368443	2.8703300521218296	36.64379762104189	1.8420200011257317	5294.371057746158	199.42020239491467	85.84578223680126	7520.619911891231	378.0484883644602	105.98880004882812	3.992222631696178	121.41677381574027	10.827087364014249	7.568208802327512	150.55640630220685	80.19227478313836	3.020558909327735	91.86524693768015	8.413606641967194	5.72618880120178	113.91260868116495
57.0	26.29756162217742	0.9905359869921684	2.924449048139984	37.35551653119825	1.8777968734151533	5397.201666029475	203.29346713072275	86.07791228265926	7666.690127176939	385.39118414363645	106.60743713378906	4.015524499160003	122.12546113915678	10.883405231281156	7.612383041772535	151.4351762880363	80.30987551161164	3.0249885121678344	91.99996589895746	8.424905565195795	5.7345861683573816	114.07965975683804
58.0	26.79998785582827	1.009460603364981	2.978657644780843	38.06920975289315	1.9136729909132746	5500.317526894325	207.17747632076774	86.3031643552599	7813.165541913384	392.75424859476163	107.21589660644531	4.03844301202258	122.82248937358828	10.938727228567513	7.655830541269606	152.29948904128437	80.41590875061704	3.028982408657599	92.12143358036661	8.435090709497336	5.742157550356331	114.23027928839122
59.0	27.3037990380617	1.028437385844708	3.032954910076091	38.78487028510964	1.9496480016911444	5603.717628819418	211.07219186462592	86.52183510318443	7960.044719241102	400.13760948940836	107.8145751953125	4.06099311364168	123.5083129962666	10.993092936436243	7.698579629512348	153.14990811224655	80.5107761572508	3.032555727796972	92.23011010513557	8.444201386854068	5.748931627821204	114.36503782713692
60.0	27.80898988415234	1.0474661353744663	3.0873398761907525	39.50249062092944	1.985721528389032	5707.400887189799	214.9775729086942	86.73420425000742	8107.326118471552	407.5411893798422	108.40373229980469	4.083184574674306	124.1832291653817	11.046529243954124	7.74064882910813	153.98680197611608	80.59474241565235	3.035718439299839	92.32629868543648	8.452263650206614	5.754927300719098	114.48431135518662
61.0	28.315554742278575	1.0665466390701575	3.1418115384737733	40.22206273197644	2.0218931674344267	5811.366142049216	218.89357576152975	86.94053578176208	8255.008091894364	414.96490543852747	108.98355102539062	4.105024292054812	124.84744763965602	11.099055956577217	7.782051214838623	154.81043073302934	80.66799628311205	3.038477652984654	92.41021555450551	8.459296172692623	5.760158047404197	114.58836800105288
62.0	28.82348758253614	1.0856786698066483	3.1963688545132554	40.943578052810544	2.058162488257547	5915.612155845312	222.8201538089193	87.14107903584575	8403.088881574406	422.40866929712104	109.554443359375	4.126527783885499	125.50144037621486	11.150713439714856	7.822816204962593	155.6213796082932	80.73095577683887	3.0408491140788505	92.48233957709905	8.465339550742675	5.764653716705046	114.67780155548269
63.0	29.332781985928904	1.1048619858030941	3.2510107431976754	41.667027465289195	2.0945290325052186	6020.137611170144	226.7572574287725	87.33606970078259	8551.566616142198	429.8723868851326	110.11653137207031	4.147699648122603	126.14534721420647	11.201515641498458	7.862952516001153	156.41982200199868	80.78374938614141	3.0428376623195086	92.54281794572526	8.470406507246159	5.768423483495934	114.75279453670949
64.0	29.843431133353214	1.1240963302080174	3.3057360837848524	42.39240128291965	2.1309923132542905	6124.94110849937	230.7048339059653	87.52573073524697	8700.439307582445	437.3559582684896	110.67010498046875	4.168550804912186	126.77950027160794	11.25149155101313	7.902480849691949	157.20616973936166	80.82667384711553	3.044454474704169	92.59199059006934	8.47452584199009	5.7714885364376585	114.81376845644199
65.0	30.35542779459237	1.1433814306847676	3.3605437149804436	43.11968923522577	2.1675518142257832	6230.021163933525	234.66282734726158	87.71027321385804	8849.704848025536	444.8592774882511	111.21546936035156	4.189092749144842	127.40424914628986	11.300671364576178	7.941422997337772	157.98085632060952	80.86004156575919	3.0457113184600746	92.63021539066563	8.477727788037242	5.773871183111988	114.86116708538373
66.0	30.868764317335696	1.1627169989979103	3.4154324340274753	43.84888045214965	2.2042069890007823	6335.37620694434	238.631178596425	87.88989710646716	8999.361006546203	452.38223239968244	111.75274658203125	4.209330078776806	128.0197336774005	11.349068624894514	7.979787675459733	158.74405514583313	80.88398226469556	3.0466130797788966	92.65764095286096	8.480024984958519	5.775580686458952	114.89517469368349
67.0	31.383432616243702	1.182102730601349	3.4704009958091944	44.579963448518725	2.240957260239631	6441.004578130521	242.60982514968728	88.06479199696543	9149.40542597562	459.9247045120046	112.28216552734375	4.229271414976023	128.6262160633428	11.396706388053971	8.017591227534925	159.49609134020307	80.89873291110004	3.0471686843746744	92.6745387373184	8.481440305583764	5.776633967295295	114.91612789168431
68.0	31.899424162073693	1.2015383042287264	3.5254481119666825	45.312926108598795	2.277802018905434	6546.904526985938	246.5987010716837	88.23513774702077	9299.835619731128	467.4865688290302	112.80387878417969	4.24892250518779	129.2238711030521	11.443600725232917	8.054844549214742	160.2371816538329	80.90445462210599	3.047384200959063	92.68109331375221	8.481989290459863	5.777042530309307	114.9242555452341
69.0	32.41672997088788	1.2210233814869316	3.5805724500335514	46.047755670764225	2.3147406234934564	6653.074209684734	250.59773691202602	88.40110510960933	9450.64896867	475.0676936910079	113.31822204589844	4.268295993791756	129.81308335418606	11.489784041869768	8.091571610932247	160.9678029369728	80.90149207501057	3.0472726123048246	92.67769953148053	8.481705041772058	5.7768309874387915	114.92004726620857
70.0	32.93534059336287	1.240557606453427	3.6357726325895965	46.784438712312145	2.3517723992677606	6759.511686887264	254.60685962265984	88.56285629672067	9601.84271797279	482.6679406179531	113.82542419433594	4.287400501955866	130.3941150151476	11.535279004296683	8.127788756164534	161.68828031479316	80.89008360097307	3.0468428955024396	92.66463041369492	8.48061041187094	5.776016356896773	114.90384160248102
71.0	33.45524610422206	1.2601406052782032	3.6910472364356037	47.522961134451215	2.3888966375066163	6866.214921571225	258.6259924761713	88.72054550518476	9753.413974062465	490.2871641547791	114.32553100585938	4.3062377539137096	130.96701852561736	11.580091760443398	8.163499253607018	162.39867881232814	80.87028490163732	3.046097148635507	92.64194977009873	8.478710687393194	5.774602616100402	114.87571767787695
72.0	33.97643609181091	1.2797719857911165	3.746394791791288	48.263308147493326	2.4261125947581155	6973.181776892145	262.6550549851988	88.87431940418526	9905.359701565243	497.92521171852286	114.81857299804688	4.324808899154346	131.53182884538242	11.624227042698198	8.198705282389978	163.0990417796005	80.84213690623596	3.045036913363229	92.60970448767797	8.476009695621588	5.772592687631862	114.83573363210716
73.0	34.49889964783998	1.2994513371155472	3.8018137815188586	49.00546425628379	2.463419492107769	7080.410014078277	266.69396282314153	89.02431758768107	10057.676720320313	505.581923448029	115.30509948730469	4.34313462848084	132.08917525060983	11.667735911472642	8.233446066858434	163.79014951701933	80.80619983946471	3.043683291365293	92.56853633872493	8.472561057718968	5.7700265747506645	114.78468526073557
